ชื่อกลยุทธ์,หมวด,ลักษณะ,ตัวอย่างสถานการณ์,สาเหตุที่เกี่ยวข้องกับกลยุทธ์
ปิดฟ้าข้ามทะเล,ชนะศึก,"กลยุทธ์นี้เกี่ยวข้องกับการทำสิ่งใดสิ่งหนึ่งอย่างเปิดเผยในขณะที่แอบเตรียมการอื่น ๆ มักจะเกิดขึ้นเมื่อเห็นสิ่งใดสิ่งหนึ่งที่ชัดเจน แต่สิ่งนั้นไม่ได้ก่อให้เกิดความสงสัยหรือความกังวล กลยุทธ์นี้มีความสำคัญอย่างยิ่งเมื่อต้องโจมตีศัตรูที่แข็งแกร่งและเตรียมพร้อม หรือเมื่อเผชิญหน้ากับศัตรูที่ทรงพลังเป็นครั้งแรก มันเกี่ยวข้องกับการ ""ถอยทัพเสแสร้ง"" โดยแกล้งทำตัวอ่อนน้อมและยอมจำนนต่อศัตรู ปล่อยให้พวกเขาลดความระมัดระวัง รอจังหวะและโอกาสที่เหมาะสมเพื่อเข้าโจมตีและเอาชนะพวกเขาอย่างสิ้นเชิง ตำราพิชัยสงครามกล่าวไว้ว่า: ""แสร้งทำเป็นหนีเพื่อล่อศัตรูเข้าสู่กับดัก""","กลยุทธ์ ""ปิดฟ้าข้ามทะเล"" ถูกใช้โดยลกซุน เขาแกล้งทำเป็นป่วย แล้วอ้างว่ากำลังจะกลับบ้านเกิด จากนั้นก็แอบโจมตีเกงจิ๋วซึ่งไม่ได้มีการป้องกันที่ดีจากกวนอู เมื่อกวนอูนำทัพไปโจมตีโจโฉที่เมืองอ้วนเซียง เขาปล่อยให้บิฮองและฮูสีเริ่นเฝ้าเกงจิ๋ว กวนอูได้สั่งให้พวกเขาลาดตระเวน ตรวจสอบ และปกป้องเกงจิ๋วอย่างต่อเนื่อง",สถานการณ์แสดงให้เห็นการ “เปิดเผย” (อ้างป่วย-จะกลับบ้าน) เพื่อสร้างความสบายใจให้ศัตรู และในขณะเดียวกันก็มีการ “ซ่อนการเตรียมกำลัง” ไว้แนบเนียน จึงสอดคล้องกับลักษณะการทำให้ศัตรูประมาทก่อนจึงโจมตีตามลำดับ
ปิดฟ้าข้ามทะเล,ชนะศึก,กลยุทธ์นี้เกี่ยวข้องกับการทำสิ่งใดสิ่งหนึ่งอย่างเปิดเผยในขณะที่แอบเตรียมการอื่น ๆ … “แสร้งทำเป็นหนีเพื่อล่อศัตรูเข้าสู่กับดัก”,กองทัพประกาศย้ายค่ายไปตั้งทางทิศตะวันตกในเวลากลางวัน แต่ยามค่ำกลับแอบส่งกองปฏิบัติการพิเศษข้ามแม่น้ำไปเผาทำลายสะพานหลักของศัตรู,เพื่อเบนความสนใจศัตรูให้เฝ้าระวังการย้ายค่ายด้านตะวันตก จึงไม่มีการตรวจตราฝั่งแม่น้ำ ทำให้ปฏิบัติการเผาสะพานสำเร็จโดยไม่ถูกขัดขวาง
ปิดฟ้าข้ามทะเล,ชนะศึก,กลยุทธ์นี้เกี่ยวข้องกับการทำสิ่งใดสิ่งหนึ่งอย่างเปิดเผยในขณะที่แอบเตรียมการอื่น ๆ … “แสร้งทำเป็นหนีเพื่อล่อศัตรูเข้าสู่กับดัก”,ผู้ว่าฯ ประกาศระดมกำลังสร้างคันดินป้องกันเมืองทางทิศใต้พร้อมถ่ายทอดสดให้ประชาชนดู ทว่ากลางดึกได้ส่งกองลาดตระเวนเล็ก ๆ แอบตีโอบหลังค่ายทหารของศัตรู,ต้องการให้ศัตรูเชื่อว่าทิศใต้ที่ถูกเน้นคือจุดสำคัญ จึงละเลยด้านอื่น ทำให้กองลาดตระเวนเคลื่อนไหวผ่านป่าบังสายตาเข้าทำลายค่ายเบื้องหลังได้
ปิดฟ้าข้ามทะเล,ชนะศึก,กลยุทธ์นี้เกี่ยวข้องกับการทำสิ่งใดสิ่งหนึ่งอย่างเปิดเผยในขณะที่แอบเตรียมการอื่น ๆ … “แสร้งทำเป็นหนีเพื่าล่อศัตรูเข้าสู่กับดัก”,แม่ทัพส่งข่าวลือว่าโรคระบาดกำลังจะระบาดในกองทัพ จึงสั่งให้ถอยค่ายเข้าพื้นที่เปียกชื้น แต่แท้จริงกลางคืนได้เสริมกำลังและสั่งซุ่มโจมตีค่ายรักษาพยาบาลของศัตรู,ทำให้ศัตรูเชื่อว่าฝ่ายเรากำลังอ่อนแอและถอยร่น จึงไม่ระวังค่ายรับผู้ป่วย กลายเป็นจุดอ่อนให้ซุ่มโจมตีได้สำเร็จ
ปิดฟ้าข้ามทะเล,ชนะศึก,กลยุทธ์นี้เกี่ยวข้องกับการทำสิ่งใดสิ่งหนึ่งอย่างเปิดเผยในขณะที่แอบเตรียมการอื่น ๆ … “แสร้งทำเป็นหนีเพื่อล่อศัตรูเข้าสู่กับดัก”,กษัตริย์ส่งกงสุลพร้อมขบวนทูตไปเจรจาสงบศึกกับเมืองใกล้เคียงอย่างเปิดเผย ระหว่างนั้นฝีพายล่องเรือรบเล็ก ๆ หลบมุมเข้าไปโจมตีป้อมปืนเล็งชายฝั่งของศัตรูก่อนรุ่งสาง,การเจรจาสันติภาพทำให้ศัตรูลดการเตรียมรับทางเรือ จึงส่งเรือลำเล็กซุ่มโจมตีป้อมชายฝั่งได้โดยไม่มีเรือรบศัตรูออกมาตอบโต้
ปิดฟ้าข้ามทะเล,ชนะศึก,กลยุทธ์นี้เกี่ยวข้องกับการทำสิ่งใดสิ่งหนึ่งอย่างเปิดเผยในขณะที่แอบเตรียมการอื่น ๆ … “แสร้งทำเป็นหนีเพื่อล่อศัตรูเข้าสู่กับดัก”,แม่ทัพฝ่ายเหนือประกาศให้ทัพหลักตั้งแถวเรียงกำลังโชว์สัญลักษณ์เกียรติยศด้านทิศตะวันออก ในขณะเดียวกันสั่งกองทหารม้าเบาเคลื่อนทางลับผ่านหุบเขาไปล้อมเข้าจู่โจมค่ายหน้าด่านศัตรู,การจัดแถวโชว์กำลังทำให้ศัตรูโฟกัสไปที่การสู้หน้า กองทหารม้าเบาจึงสามารถใช้เส้นทางหุบเขาที่ยากต่อการสังเกตเข้าโจมตีจากด้านหลังได้
ล้อมเว่ยช่วยเจ้า,ชนะศึก,ศัตรูรวบรวมกำลังไว้จุดเดียว ทำให้แข็งแกร่งเกินไป จึงต้องแบ่งกำลังศัตรูให้กระจัดกระจาย แล้วโจมตีจุดที่ศัตรูไม่ได้เตรียมรับ “โจมตีจุดที่อยู่นอกเหนือความคาดหมาย” ตามตำราพิชัยสงคราม: “เมื่อเห็นจุดอ่อนเปราะของศัตรู เราต้องใช้กลยุทธ์พิสดารโจมตี”,"ลกซุนเพื่อช่วยเหลือกวนอูจากการโจมตีของโจโฉ กล่าวคือเมื่อโจโฉโจมตีกวนอู กวนอูอยู่ในสถานการณ์วิกฤติและกำลังจะถูกจับในขณะนั้น ลกซุนถูกส่งไปเจรจากับโจโฉ ลกซุนเสนอแผนต่อโจโฉว่า ถ้าโจโฉจะโจมตีกวนอู กวนอูจะต้องยอมแพ้ต่อโจโฉอย่างแน่นอน เมืองและหัวเมืองก็จะกลายเป็นพื้นที่ที่ไร้การควบคุมและแข็งแกร่ง กวนอูจึงปรึกษาจูกัดเหลียง และจูกัดเหลียงเสนอแผนไม่ให้โจโฉตกลงกับลกซุนและอธิบายให้กวนอูฟังว่า """"โจโฉยังคงเกรงเกงจิ๋วอยู่ จึงจะต้องแบ่งกำลังทหารและกลับไปป้องกัน เมื่อโจโฉถอนกำลัง กวนอูสามารถโจมตีเขาได้"""" กวนอูเห็นด้วยกับข้อเสนอของจูกัดเหลียงแล้วจึงนำทัพไปโจมตีโจโฉ เมื่อโจโฉได้ยินเรื่องการโจมตีของกวนอู เขาก็รีบกลับมาเตรียมการโจมตี ซุนกวนจึงเข้าแทนที่กวนอูและทำสงครามต่อไป ซุนกวนและโจโฉไม่สามารถเอาชนะกันได้ จนกระทั่งซุนกวนเองก็ยอมแพ้และถอยทัพไปในเวลาต่อมา กลยุทธ์ """"ล้อมเว่ยช่วยจ้าว"""" ของลกซุนก็ประสบความสำเร็จในการปกป้องกวนอูและสามารถนำทัพไปตั้งรับได้อย่างงดงาม",เพื่อคลายแรงกดดันจากกวนอูโดยตรง ทำให้โจโฉต้องแบ่งกำลังไปตั้งรับอีกจุด เพื่อสร้างความสับสนในแผนแม่บทของโจโฉ ให้ต้องประเมินสถานการณ์ใหม่ แยกกำลังออกจากจุดรวมพลหลัก เพื่อเปิดโอกาสให้กวนอูโจมตี “จุดอ่อน” ที่ถูกลดการป้องกันทันทีที่โจโฉถอนกำลังกลับไปปกป้องเกงจิ๋ว
ล้อมเว่ยช่วยเจ้า,ชนะศึก,ศัตรูรวบรวมกำลังไว้จุดเดียว ทำให้แข็งแกร่งเกินไป จึงต้องแบ่งกำลังศัตรูให้กระจัดกระจาย แล้วโจมตีจุดที่ศัตรูไม่ได้เตรียมรับ “โจมตีจุดที่อยู่นอกเหนือความคาดหมาย” ตามตำราพิชัยสงคราม: “เมื่อเห็นจุดอ่อนเปราะของศัตรู เราต้องใช้กลยุทธ์พิสดารโจมตี”,กองทัพศัตรูรวมพลหลักที่เนินเขาเหนือหมู่บ้าน ปิดทางผ่านทุกด้าน แม่ทัพจึงส่งกองทหารพรานละเมอปล่อยเสียงปืนใกล้ป่า ทำให้ศัตรูแตกกำลังไปตรวจสอบ แล้วแม่ทัพนำกองกำลังตัวจริงบุกผ่านหุบผาด้านหลัง,ต้องการกระจายกำลังศัตรูออกจากเนินเขาเหนือ เพื่อเปิดช่องทางบุกที่ฝ่ายเราเตรียมไว้
ล้อมเว่ยช่วยเจ้า,ชนะศึก,ศัตรูรวบรวมกำลังไว้จุดเดียว ทำให้แข็งแกร่งเกินไป จึงต้องแบ่งกำลังศัตรูให้กระจัดกระจาย แล้วโจมตีจุดที่ศัตรูไม่ได้เตรียมรับ “โจมตีจุดที่อยู่นอกเหนือความคาดหมาย”,ศัตรูตั้งค่ายใหญ่ริมแม่น้ำและส่งเรือรบลาดตระเวนเต็มกำลัง แม่ทัพฝ่ายเราใช้กระแสข่าวลืมว่าเราจะยกทัพบกบุกจากทิศตะวันตก จึงทำให้ศัตรูส่งกำลังบางส่วนไปเสริมป้องกันฝั่งทิศนั้น เมื่อเวลากลางคืน แม่ทัพจึงนำกองเรือเร็วบุกเข้าทางเดิม,ต้องการลวงให้ศัตรูถอยเรือรบไปป้องกันริมฝั่งตะวันตก จึงเหลือจำนวนน้อยลงให้เรือเร็วของเราสามารถผ่านเข้าโจมตีได้สำเร็จ
ล้อมเว่ยช่วยเจ้า,ชนะศึก,ศัตรูรวบรวมกำลังไว้จุดเดียว ทำให้แข็งแกร่งเกินไป จึงต้องแบ่งกำลังศัตรูให้กระจัดกระจาย แล้วโจมตีจุดที่ศัตรูไม่ได้เตรียมรับ “โจมตีจุดที่อยู่นอกเหนือความคาดหมาย”,ข้าศึกรวบรวมทหารไว้ในป้อมหลัก พร้อมซุ่มยิงทุกเส้นทางเข้าออก หน่วยข่าวข่าวกรองจึงสร้างแผนปล่อยข่าวว่าเราจะบุกทางใต้ ทำให้ป้อมเสริมกำลังพร้อมรับทัพที่นั่น แต่กลับส่งกองพลเรือมาลอบขึ้นฝั่งทางเหนือแล้วปิดล้อมป้อมหลัก,ต้องการเบี่ยงกำลังป้อมให้ไปรับมือการบุกทางใต้ จึงเหลือช่องทางทางเหนือให้ยกพลขึ้นฝั่งและปิดล้อมได้ง่ายขึ้น
