ชื่อกลยุทธ์,หมวด,ลักษณะ
ปิดฟ้าข้ามทะเล,กลยุทธ์ชนะศึก,ทำให้ศัตรูสบายใจ คิดว่าไม่มีแผน แล้วโจมตีทันที
ล้อมเวยช่วยจ้าว,กลยุทธ์ชนะศึก,บุกตีจุดสำคัญที่ศัตรูเผลอให้กำลังแตก
ยืมดาบฆ่าคน,กลยุทธ์ชนะศึก,ใช้กำลังหรือทรัพยากรของคนอื่นแทนตัวเอง
รอซ้ำยามเปลี้ย,กลยุทธ์ชนะศึก,รอให้ศัตรูเหนื่อยแล้วจึงลงมือ
ตีชิงตามไฟ,กลยุทธ์ชนะศึก,ฉวยโอกาสตอนศัตรูกำลังวุ่นวาย
ส่งเสียงบูรพาฝ่าตีประจิม,กลยุทธ์ชนะศึก,ล่อให้ศัตรูสนใจด้านหนึ่ง แล้วโจมตีอีกด้าน
มีในไม่มี,กลยุทธ์เผชิญศึก,สร้างเรื่องลวงให้ศัตรูสับสน
ลอบตีเฉินชาง,กลยุทธ์เผชิญศึก,ทำทีจะเข้าทางหลัก แต่บุกทางลับ
ดูไฟชายฝั่ง,กลยุทธ์เผชิญศึก,รอดูให้ศัตรูแตกกันเองก่อนค่อยลงมือ
ซ่อนดาบในรอยยิ้ม,กลยุทธ์เผชิญศึก,แสร้งเป็นมิตร แล้วยิงทีหลัง
หลี่ตายแทนถาว,กลยุทธ์เผชิญศึก,เสียของเล็กน้อยเพื่อได้กำไรใหญ่
จูงแพะติดมือ,กลยุทธ์เผชิญศึก,ฉกเอาสิ่งเล็กๆ ตอนศัตรูไม่ทันระวัง
ตีหญ้าให้งูตื่น,กลยุทธ์เข้าตี,ส่งคนสอดแนมดูความเคลื่อนไหวก่อนบุก
ยืมซากคืนชีพ,กลยุทธ์เข้าตี,ใช้สิ่งที่ยังพอใช้งานสร้างประโยชน์ใหม่
ล่อเสือออกจากถ้ำ,กลยุทธ์เข้าตี,หลอกล่อให้ศัตรูหลุดจากป้อม แล้วบุก
แสร้งปล่อยเพื่อจับ,กลยุทธ์เข้าตี,ปล่อยให้หนีแล้วไล่บี้จนอ่อนกำลัง
โยนกระเบื้องล่อหยก,กลยุทธ์เข้าตี,ใช้สิ่งไม่สำคัญล่อให้หลง ยึดจริงทีหลัง
จับโจรเอาหัวโจก,กลยุทธ์เข้าตี,มุ่งโจมตีผู้นำศัตรูให้ล่มทั้งกอง
ถอนฟืนใต้กระทะ,กลยุทธ์ติดพัน,ตัดกำลังใจศัตรูให้หมดแรงสู้
กวนน้ำจับปลา,กลยุทธ์ติดพัน,ใช้อาการวุ่นวายของศัตรูให้เป็นประโยชน์
จักจั่นลอกคราบ,กลยุทธ์ติดพัน,ทำเหมือนไม่ขยับ ก่อนเปลี่ยนแผนฉับพลัน
ปิดประตูจับโจร,กลยุทธ์ติดพัน,ล้อมรอบจนศัตรูหนีไม่ได้
คบไกลตีใกล้,กลยุทธ์ติดพัน,ผูกไมตรีกับที่ไกล แล้วตีที่ใกล้
ยืมทางพรางกล,กลยุทธ์ติดพัน,ขอผ่านแล้วใช้เส้นทางโจมตี
ลักขื่อเปลี่ยนเสา,กลยุทธ์ร่วมรบ,สลับตำแหน่งสำคัญของศัตรู
ชี้ต้นหม่อนด่าต้นไหว,กลยุทธ์ร่วมรบ,ขู่ให้ฝ่ายอื่นเกรงใจแทนเป้าหมายจริง
แสร้งทำบอแต่ไม่บ้า,กลยุทธ์ร่วมรบ,ทำเป็นโง่ก่อนแล้วออกหมัดหนัก
ขึ้นบ้านชักบันได,กลยุทธ์ร่วมรบ,ตัดหนทางถอยหลังเมื่อศัตรูเข้ามา
ต้นไม้ผลิดอก,กลยุทธ์ร่วมรบ,เสริมกำลังเล็กให้ดูเข้มแข็ง
สลับแขกเป็นเจ้าบ้าน,กลยุทธ์ร่วมรบ,เปลี่ยนฝ่ายให้ดูเหมือนเราเป็นเจ้าคุม
สาวงาม,กลยุทธ์ยามพ่าย,ใช้เสน่ห์หลอกใจศัตรูให้สับสน
เปิดเมือง,กลยุทธ์ยามพ่าย,แสร้งอ่อนแอให้ศัตรูลังเลก่อนบุก
ไส้ศึก,กลยุทธ์ยามพ่าย,ใช้คนในกองทัพศัตรูสร้างความแตกแยก
ทุกข์กาย,กลยุทธ์ยามพ่าย,ทำตัวเจ็บเพื่อเรียกให้ศัตรูไว้ใจ
ลูกโซ่,กลยุทธ์ยามพ่าย,ผูกแผนหลายขั้นให้ศัตรูตามไม่ทัน
หลบหนี,กลยุทธ์ยามพ่าย,ถอยเพื่อรอเวลาที่ดีกว่า
