iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
0,1,-1,73,37,36,4.356,4.205,6,7
0,2,0,287,144,143,15.114,14.728,3,3
0,3,-1,170,85,85,8.962,8.72,0,6
0,4,-1,156,78,78,8.707,7.958,3,6
0,5,-1,136,68,68,7.073,6.822,0,7
0,6,1,211,106,105,11.486,11.451,5,0
0,7,1,159,80,79,8.052,8.09,4,3
0,8,1,215,108,107,10.876,10.758,4,2
0,9,-1,192,96,96,10.578,10.313,2,3
0,10,1,123,62,61,6.375,6.286,4,2
0,11,-1,205,103,102,10.478,10.155,2,6
0,12,-1,128,64,64,6.985,6.555,0,6
0,13,0,183,92,91,9.417,9.274,3,3
0,14,-1,104,52,52,5.628,5.465,0,6
0,15,-1,212,106,106,11.532,11.251,0,5
0,16,-1,142,71,71,7.576,6.979,0,5
0,17,-1,166,83,83,8.324,8.319,2,5
0,18,1,141,71,70,7.373,7.098,4,3
0,19,-1,142,71,71,7.264,7.254,0,7
0,20,-1,126,63,63,6.53,6.72,0,5
1,1,1,173,87,86,9.906,9.393,6,0
1,2,-1,172,86,86,8.849,8.683,2,3
1,3,-1,162,81,81,8.746,8.524,0,5
1,4,1,205,103,102,10.993,10.896,4,2
1,5,1,141,71,70,7.861,7.423,8,4
1,6,1,141,71,70,7.832,7.181,6,1
1,7,1,145,73,72,7.706,7.617,6,0
1,8,1,124,62,62,6.75,6.484,4,3
1,9,-1,230,115,115,12.435,12.121,1,2
1,10,1,69,35,34,3.307,3.22,8,6
1,11,0,50,25,25,2.924,2.955,8,8
1,12,-1,254,127,127,12.921,12.903,1,2
1,13,1,91,46,45,5.182,5.042,8,6
1,14,1,93,47,46,5.252,5.209,8,5
1,15,1,227,114,113,12.045,11.645,3,2
1,16,1,115,58,57,6.207,5.779,4,2
1,17,1,147,74,73,7.823,7.669,6,3
1,18,-1,210,105,105,11.459,11.362,1,4
1,19,1,145,73,72,7.773,7.472,6,1
1,20,-1,114,57,57,6.118,6.086,5,7
2,1,1,179,90,89,9.765,9.615,7,3
2,2,1,57,29,28,3.124,2.957,8,7
2,3,-1,204,102,102,10.455,10.034,1,2
2,4,1,87,44,43,4.864,4.749,8,6
2,5,0,50,25,25,2.464,2.562,8,8
2,6,1,251,126,125,13.617,12.974,7,4
2,7,1,111,56,55,6.077,6.048,8,6
2,8,1,77,39,38,4.367,4.317,8,7
2,9,0,50,25,25,2.287,2.22,8,8
2,10,-1,62,31,31,3.05,2.978,7,8
2,11,0,50,25,25,3.157,2.82,8,8
2,12,1,141,71,70,7.484,7.191,8,4
2,13,-1,162,81,81,8.363,8.488,0,5
2,14,0,90,45,45,5.076,4.848,7,7
2,15,0,50,25,25,2.613,2.274,8,8
2,16,1,95,48,47,5.348,5.19,8,7
2,17,1,77,39,38,3.849,3.595,8,4
2,18,0,107,54,53,5.901,5.895,6,6
2,19,-1,146,73,73,7.475,7.853,1,7
2,20,1,171,86,85,9.404,8.812,7,5
3,1,1,101,51,50,5.677,5.44,8,6
3,2,1,87,44,43,4.271,3.932,8,6
3,3,0,50,25,25,3.076,2.975,8,8
3,4,0,50,25,25,2.281,2.191,8,8
3,5,0,50,25,25,2.46,2.315,8,8
3,6,1,59,30,29,3.374,3.522,8,7
3,7,-1,210,105,105,10.331,10.254,1,3
3,8,1,231,116,115,12.121,12.301,5,2
3,9,0,50,25,25,2.402,2.492,8,8
3,10,0,117,59,58,6.28,6.06,7,7
3,11,1,91,46,45,5.296,4.873,7,5
3,12,1,85,43,42,4.51,4.402,8,6
3,13,0,50,25,25,2.493,2.347,8,8
