iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
41,1,0,50,25,25,2.197,2.125,8,8
41,2,0,50,25,25,2.548,2.437,8,8
41,3,-1,200,100,100,9.516,10.416,0,3
41,4,0,144,72,72,6.99,7.004,7,7
41,5,1,69,35,34,3.303,3.19,8,7
41,6,0,50,25,25,3.011,2.613,8,8
41,7,-1,70,35,35,3.015,3.036,6,8
41,8,1,195,98,97,9.981,9.995,3,2
41,9,0,76,38,38,3.418,3.29,7,7
41,10,0,50,25,25,2.85,2.755,8,8
41,11,1,135,68,67,6.889,6.333,6,4
41,12,-1,324,162,162,16.158,16.158,1,2
41,13,1,61,31,30,2.772,2.635,8,6
41,14,0,50,25,25,2.926,3.036,8,8
41,15,1,171,86,85,8.448,8.62,5,4
41,16,0,88,44,44,4.322,4.216,7,7
41,17,1,215,108,107,10.435,10.44,3,0
41,18,1,139,70,69,7.13,6.898,7,6
41,19,1,259,130,129,13.046,12.728,4,0
41,20,0,96,48,48,4.965,5.053,7,7
42,1,1,99,50,49,5.054,4.966,7,4
42,2,1,235,118,117,11.19,10.739,4,0
42,3,-1,162,81,81,7.744,7.961,1,4
42,4,1,115,58,57,5.801,5.613,6,5
42,5,1,183,92,91,9.265,8.827,5,2
42,6,1,153,77,76,8.177,7.755,6,5
42,7,0,50,25,25,2.166,2.086,8,8
42,8,-1,91,46,45,4.931,4.701,6,7
42,9,0,87,44,43,4.021,3.771,7,7
42,10,1,59,30,29,3.569,3.171,8,7
42,11,0,113,57,56,5.571,5.398,7,7
42,12,0,50,25,25,2.786,2.705,8,8
42,13,0,50,25,25,2.229,2.345,8,8
42,14,-1,190,95,95,9.957,9.697,4,5
42,15,0,50,25,25,3.041,2.691,8,8
42,16,0,91,46,45,5.567,5.274,7,7
42,17,1,251,126,125,12.883,12.77,5,0
42,18,-1,212,106,106,10.324,10.485,0,2
42,19,0,50,25,25,2.316,2.25,8,8
42,20,1,91,46,45,4.783,4.899,8,7
43,1,1,235,118,117,11.903,11.483,2,1
43,2,1,77,39,38,4.024,3.917,7,5
43,3,-1,148,74,74,7.416,7.318,0,5
43,4,-1,110,55,55,4.848,4.661,0,4
43,5,1,185,93,92,9.622,9.561,6,5
43,6,-1,126,63,63,6.386,6.6,6,8
43,7,-1,208,104,104,9.542,9.883,1,4
43,8,1,59,30,29,2.922,2.693,8,7
43,9,-1,136,68,68,6.492,6.756,0,6
43,10,1,221,111,110,11.361,10.762,5,0
43,11,1,73,37,36,3.509,3.478,8,7
43,12,-1,142,71,71,6.784,7.107,0,4
43,13,-1,93,47,46,4.297,4.39,4,7
43,14,1,245,123,122,11.999,11.98,5,1
43,15,1,71,36,35,3.401,3.009,8,7
43,16,0,50,25,25,2.797,2.729,8,8
43,17,1,93,47,46,4.167,3.958,8,7
43,18,0,50,25,25,2.867,3.094,8,8
43,19,0,50,25,25,2.146,2.091,8,8
43,20,1,165,83,82,8.126,8.215,5,3
44,1,1,89,45,44,4.383,4.108,8,7
44,2,1,59,30,29,3.552,3.155,8,7
44,3,1,101,51,50,4.62,4.283,8,6
44,4,-1,152,76,76,7.435,7.879,0,5
44,5,0,50,25,25,2.972,2.841,8,8
44,6,1,73,37,36,3.328,3.187,8,6
44,7,0,50,25,25,3.311,2.959,8,8
44,8,0,113,57,56,5.168,4.99,6,6
44,9,1,89,45,44,4.581,4.72,7,6
44,10,0,50,25,25,2.191,2.157,8,8
44,11,0,97,49,48,5.016,4.893,7,7
44,12,1,153,77,76,7.606,7.605,7,5
44,13,-1,88,44,44,4.581,4.579,5,7
44,14,0,50,25,25,2.297,2.437,8,8
44,15,1,143,72,71,7.151,6.886,5,3
44,16,0,94,47,47,5.345,4.779,7,7
44,17,1,87,44,43,4.14,4.101,8,6
44,18,0,50,25,25,2.634,2.839,8,8
44,19,0,50,25,25,2.306,2.173,8,8
44,20,0,100,50,50,5.532,5.116,7,7
45,1,1,165,83,82,7.983,7.84,5,3
45,2,0,144,72,72,7.523,6.987,3,3
45,3,-1,188,94,94,9.916,9.629,2,3
45,4,1,141,71,70,7.165,6.716,7,5
45,5,1,365,183,182,17.578,17.439,2,1
45,6,1,203,102,101,10.407,10.31,5,4
45,7,1,123,62,61,6.341,5.824,7,3
45,8,0,103,52,51,5.001,4.65,7,7
45,9,-1,56,28,28,3.135,3.256,7,8
45,10,0,50,25,25,2.153,2.077,8,8
45,11,0,98,49,49,5.394,5.141,7,7
45,12,-1,288,144,144,14.118,14.212,2,3
45,13,0,50,25,25,2.272,2.234,8,8
45,14,1,261,131,130,13.151,12.608,3,1
45,15,1,79,40,39,3.864,4.094,8,5
45,16,0,50,25,25,2.802,2.672,8,8
45,17,0,50,25,25,2.373,2.3,8,8
45,18,-1,234,117,117,11.918,12.172,2,3
45,19,1,253,127,126,13.296,12.667,6,2
45,20,-1,208,104,104,10.119,10.398,0,3
