iteration,win_rate_player1,win_rate_player_minus1,draw_rate,avg_game_length,avg_final_pieces_p1,avg_final_pieces_p_1,new_training_examples,replay_buffer_size,iteration_time
0,0.25,0.65,0.1,163.55,2.1,4.5,2520,3271,341.3737003803253
1,0.65,0.3,0.05,150.4,4.75,3.3,2280,6279,320.09936022758484
2,0.5,0.2,0.3,110.85,6.55,6.0,3420,8496,234.4761712551117
3,0.45,0.1,0.45,104.7,7.0,5.9,4400,10590,216.03318619728088
4,0.35,0.25,0.4,116.1,6.25,5.75,1000,12912,239.27878856658936
5,0.2,0.35,0.45,98.15,6.25,6.65,1000,14875,207.86963033676147
6,0.5,0.1,0.4,108.8,6.25,5.55,2980,17051,238.78936076164246
7,0.45,0.2,0.35,131.15,5.75,5.35,5980,19674,276.20624136924744
8,0.7,0.1,0.2,118.8,6.6,5.25,1780,22050,251.95220947265625
9,0.55,0.05,0.4,100.1,6.85,5.85,1140,24052,214.03287649154663
10,0.25,0.05,0.7,91.1,7.15,6.85,2040,25874,189.0237808227539
11,0.55,0.3,0.15,130.8,6.2,5.05,2020,28490,289.6724555492401
12,0.45,0.1,0.45,91.9,6.75,6.45,1000,30328,193.2348334789276
13,0.6,0.15,0.25,99.85,6.7,5.95,1260,32325,211.43522262573242
14,0.4,0.1,0.5,107.35,6.55,5.85,1580,34472,223.0043876171112
15,0.4,0.15,0.45,91.0,7.0,6.55,1180,36292,194.09170174598694
16,0.4,0.2,0.4,110.25,5.7,5.7,1000,38497,203.6234962940216
17,0.35,0.25,0.4,94.0,6.6,6.55,4440,40377,170.15872383117676
18,0.3,0.1,0.6,110.2,6.4,6.0,3500,42581,197.84027242660522
19,0.4,0.1,0.5,99.45,6.55,5.9,1000,44570,181.29800057411194
20,0.6,0.3,0.1,135.8,5.85,4.7,3780,47286,249.14293241500854
21,0.4,0.2,0.4,103.45,6.15,6.3,1900,49355,198.3936026096344
22,0.4,0.15,0.45,121.05,6.1,5.85,1000,50000,225.8814878463745
23,0.5,0.15,0.35,103.3,6.5,6.05,1000,50000,196.48095726966858
24,0.3,0.4,0.3,84.7,6.9,7.05,1680,50000,158.89857697486877
25,0.35,0.2,0.45,103.8,6.25,6.1,4340,50000,195.5935182571411
26,0.5,0.25,0.25,104.95,5.6,6.2,3140,50000,201.7586863040924
27,0.55,0.35,0.1,162.4,4.6,4.45,3900,50000,306.8882122039795
28,0.55,0.1,0.35,98.6,6.7,5.85,1380,50000,192.00861477851868
29,0.4,0.15,0.45,108.95,6.3,5.6,4180,50000,215.70011591911316
30,0.35,0.25,0.4,76.55,6.8,7.15,2340,50000,149.67956042289734
31,0.4,0.15,0.45,88.0,6.85,6.3,3100,50000,171.5150179862976
32,0.5,0.15,0.35,91.05,6.85,6.3,1000,50000,178.18720865249634
33,0.25,0.1,0.65,78.05,7.2,7.0,1100,50000,150.30630040168762
34,0.35,0.6,0.05,127.85,5.0,5.75,4200,50000,255.5870041847229
35,0.45,0.1,0.45,106.05,6.4,6.15,3040,50000,214.82580542564392
36,0.35,0.25,0.4,110.9,6.2,5.9,1000,50000,209.66556811332703
37,0.3,0.2,0.5,102.45,6.05,6.2,2800,50000,194.63625383377075
38,0.3,0.3,0.4,113.75,5.9,6.35,2620,50000,221.13036489486694
39,0.4,0.1,0.5,91.35,7.35,6.55,1860,50000,176.02262115478516
40,0.35,0.3,0.35,102.55,6.05,6.35,4280,50000,195.28403067588806
41,0.4,0.15,0.45,124.6,5.95,5.5,1920,50000,247.22670769691467
42,0.4,0.2,0.4,119.1,6.05,5.45,1820,50000,239.81115412712097
43,0.5,0.35,0.15,126.85,4.85,5.25,3300,50000,248.61143827438354
44,0.4,0.1,0.5,86.9,6.95,6.65,2000,50000,174.13297963142395
45,0.4,0.25,0.35,155.45,5.25,4.65,4160,50000,310.0397346019745
46,0.45,0.3,0.25,132.6,5.55,4.95,1000,50000,1177.0068321228027
47,0.35,0.25,0.4,112.55,6.25,5.75,3120,50000,1131.418747663498
48,0.4,0.4,0.2,96.85,6.2,6.35,1840,50000,1106.7409677505493
49,0.45,0.15,0.4,141.85,5.3,4.6,6360,50000,1199.5768563747406
