strategy,count,percentage,at_limit,remaining_slots
ปิดฟ้าข้ามทะเล,27,2.7,True,0
ไส้ศึก,27,2.7,True,0
จักจั่นลอกคราบ,27,2.7,True,0
ยืมทางพรางกล,27,2.7,True,0
ลอบตีเฉินชาง,27,2.7,True,0
คบไกลตีใกล้,27,2.7,True,0
กวนน้ำจับปลา,27,2.7,True,0
หลบหนี,27,2.7,True,0
แสร้งปล่อยเพื่อจับ,27,2.7,True,0
รอซ้ำยามเปลี้ย,27,2.7,True,0
แสร้งทำบอแต่ไม่บ้า,27,2.7,True,0
โยนกระเบื้องล่อหยก,27,2.7,True,0
สลับแขกเป็นเจ้าบ้าน,27,2.7,True,0
ปิดประตูจับโจร,27,2.7,True,0
ลักขื่อเปลี่ยนเสา,27,2.7,True,0
จับโจรเอาหัวโจก,27,2.7,True,0
ล่อเสือออกจากถ้ำ,27,2.7,True,0
สาวงาม,27,2.7,True,0
ลูกโซ่,27,2.7,True,0
ซ่อนดาบในรอยยิ้ม,27,2.7,True,0
ขึ้นบ้านชักบันได,27,2.7,True,0
ยืมซากคืนชีพ,27,2.7,True,0
ชี้ต้นหม่อนด่าต้นไหว,27,2.7,True,0
จูงแพะติดมือ,27,2.7,True,0
ตีหญ้าให้งูตื่น,27,2.7,True,0
เปิดเมือง,27,2.7,True,0
ทุกข์กาย,27,2.7,True,0
ส่งเสียงบูรพาฝ่าตีประจิม,27,2.7,True,0
ดูไฟชายฝั่ง,27,2.7,True,0
มีในไม่มี,27,2.7,True,0
ต้นไม้ผลิดอก,27,2.7,True,0
ล้อมเวยช่วยจ้าว,27,2.7,True,0
ถอนฟืนใต้กระทะ,27,2.7,True,0
หลี่ตายแทนถาว,27,2.7,True,0
ตีชิงตามไฟ,27,2.7,True,0
ยืมดาบฆ่าคน,27,2.7,True,0
ไม่สามารถระบุได้,28,2.8000000000000003,True,0
