iteration,game_number,player,count
0,1,-1,36
0,1,1,37
0,2,-1,143
0,2,1,144
0,3,-1,85
0,3,1,85
0,4,-1,78
0,4,1,78
0,5,-1,68
0,5,1,68
0,6,-1,105
0,6,1,106
0,7,-1,79
0,7,1,80
0,8,-1,107
0,8,1,108
0,9,-1,96
0,9,1,96
0,10,-1,61
0,10,1,62
0,11,-1,102
0,11,1,103
0,12,-1,64
0,12,1,64
0,13,-1,91
0,13,1,92
0,14,-1,52
0,14,1,52
0,15,-1,106
0,15,1,106
0,16,-1,71
0,16,1,71
0,17,-1,83
0,17,1,83
0,18,-1,70
0,18,1,71
0,19,-1,71
0,19,1,71
0,20,-1,63
0,20,1,63
1,1,-1,86
1,1,1,87
1,2,-1,86
1,2,1,86
1,3,-1,81
1,3,1,81
1,4,-1,102
1,4,1,103
1,5,-1,70
1,5,1,71
1,6,-1,70
1,6,1,71
1,7,-1,72
1,7,1,73
1,8,-1,62
1,8,1,62
1,9,-1,115
1,9,1,115
1,10,-1,34
1,10,1,35
1,11,-1,25
1,11,1,25
1,12,-1,127
1,12,1,127
1,13,-1,45
1,13,1,46
1,14,-1,46
1,14,1,47
1,15,-1,113
1,15,1,114
1,16,-1,57
1,16,1,58
1,17,-1,73
1,17,1,74
1,18,-1,105
1,18,1,105
1,19,-1,72
1,19,1,73
1,20,-1,57
1,20,1,57
2,1,-1,89
2,1,1,90
2,2,-1,28
2,2,1,29
2,3,-1,102
2,3,1,102
2,4,-1,43
2,4,1,44
2,5,-1,25
2,5,1,25
2,6,-1,125
2,6,1,126
2,7,-1,55
2,7,1,56
2,8,-1,38
2,8,1,39
2,9,-1,25
2,9,1,25
2,10,-1,31
2,10,1,31
2,11,-1,25
2,11,1,25
2,12,-1,70
2,12,1,71
2,13,-1,81
2,13,1,81
2,14,-1,45
2,14,1,45
2,15,-1,25
2,15,1,25
2,16,-1,47
2,16,1,48
2,17,-1,38
2,17,1,39
2,18,-1,53
2,18,1,54
2,19,-1,73
2,19,1,73
2,20,-1,85
2,20,1,86
3,1,-1,50
3,1,1,51
3,2,-1,43
3,2,1,44
3,3,-1,25
3,3,1,25
3,4,-1,25
3,4,1,25
3,5,-1,25
3,5,1,25
3,6,-1,29
3,6,1,30
3,7,-1,105
3,7,1,105
3,8,-1,115
3,8,1,116
3,9,-1,25
3,9,1,25
3,10,-1,58
3,10,1,59
3,11,-1,45
3,11,1,46
3,12,-1,42
3,12,1,43
3,13,-1,25
3,13,1,25
3,14,-1,98
3,14,1,99
3,15,-1,25
3,15,1,25
3,16,-1,95
3,16,1,96
3,17,-1,52
3,17,1,53
3,18,-1,25
3,18,1,25
3,19,-1,25
3,19,1,25
3,20,-1,110
3,20,1,110
4,1,-1,25
4,1,1,25
4,2,-1,25
4,2,1,25
4,3,-1,25
4,3,1,25
4,4,-1,96
4,4,1,97
4,5,-1,93
4,5,1,94
4,6,-1,135
4,6,1,135
4,7,-1,29
4,7,1,29
4,8,-1,114
4,8,1,114
4,9,-1,98
4,9,1,99
4,10,-1,102
4,10,1,103
4,11,-1,40
4,11,1,40
4,12,-1,29
4,12,1,29
4,13,-1,106
4,13,1,107
4,14,-1,25
4,14,1,25
4,15,-1,36
4,15,1,37
4,16,-1,80
4,16,1,80
4,17,-1,25
4,17,1,25
4,18,-1,25
4,18,1,25
4,19,-1,25
4,19,1,25
4,20,-1,25
4,20,1,25
5,1,-1,61
5,1,1,62
5,2,-1,25
5,2,1,25
5,3,-1,25
5,3,1,25
5,4,-1,88
5,4,1,88
5,5,-1,51
5,5,1,51
5,6,-1,62
5,6,1,62
5,7,-1,30
5,7,1,31
5,8,-1,49
5,8,1,50
5,9,-1,25
5,9,1,25
5,10,-1,25
5,10,1,25
5,11,-1,25
5,11,1,25
5,12,-1,144
5,12,1,144
5,13,-1,109
5,13,1,109
5,14,-1,35
5,14,1,36
5,15,-1,25
5,15,1,25
5,16,-1,25
5,16,1,25
5,17,-1,48
5,17,1,48
5,18,-1,60
5,18,1,60
5,19,-1,42
5,19,1,43
5,20,-1,25
5,20,1,25
6,1,-1,25
6,1,1,25
6,2,-1,70
6,2,1,70
6,3,-1,25
6,3,1,25
6,4,-1,35
6,4,1,36
6,5,-1,25
6,5,1,25
6,6,-1,25
6,6,1,25
6,7,-1,97
6,7,1,97
6,8,-1,109
6,8,1,110
6,9,-1,93
6,9,1,94
6,10,-1,32
6,10,1,33
6,11,-1,58
6,11,1,59
6,12,-1,43
6,12,1,43
6,13,-1,50
6,13,1,51
6,14,-1,48
6,14,1,49
6,15,-1,83
6,15,1,83
6,16,-1,25
6,16,1,25
6,17,-1,99
6,17,1,100
6,18,-1,36
6,18,1,36
6,19,-1,31
6,19,1,32
6,20,-1,74
6,20,1,75
7,1,-1,61
7,1,1,62
7,2,-1,97
7,2,1,98
7,3,-1,25
7,3,1,25
7,4,-1,31
7,4,1,32
7,5,-1,118
7,5,1,119
7,6,-1,110
7,6,1,110
7,7,-1,43
7,7,1,44
7,8,-1,25
7,8,1,25
7,9,-1,35
7,9,1,35
7,10,-1,87
7,10,1,88
7,11,-1,98
7,11,1,99
7,12,-1,53
7,12,1,54
7,13,-1,30
7,13,1,30
7,14,-1,43
7,14,1,44
7,15,-1,48
7,15,1,48
7,16,-1,25
7,16,1,25
7,17,-1,139
7,17,1,140
7,18,-1,25
7,18,1,25
7,19,-1,64
7,19,1,64
7,20,-1,149
7,20,1,150
8,1,-1,46
8,1,1,47
8,2,-1,71
8,2,1,72
8,3,-1,36
8,3,1,37
8,4,-1,57
8,4,1,58
8,5,-1,33
8,5,1,34
8,6,-1,25
8,6,1,25
8,7,-1,92
8,7,1,93
8,8,-1,25
8,8,1,25
8,9,-1,41
8,9,1,41
8,10,-1,48
8,10,1,49
