iteration,game_number,winner,total_moves,player_1_moves,player_minus1_moves,player_1_time_seconds,player_minus1_time_seconds,final_pieces_p1,final_pieces_p_1
0,1,-1,73,37,36,4.356,4.205,6,7
0,2,0,287,144,143,15.114,14.728,3,3
0,3,-1,170,85,85,8.962,8.72,0,6
0,4,-1,156,78,78,8.707,7.958,3,6
0,5,-1,136,68,68,7.073,6.822,0,7
0,6,1,211,106,105,11.486,11.451,5,0
0,7,1,159,80,79,8.052,8.09,4,3
0,8,1,215,108,107,10.876,10.758,4,2
0,9,-1,192,96,96,10.578,10.313,2,3
0,10,1,123,62,61,6.375,6.286,4,2
0,11,-1,205,103,102,10.478,10.155,2,6
0,12,-1,128,64,64,6.985,6.555,0,6
0,13,0,183,92,91,9.417,9.274,3,3
0,14,-1,104,52,52,5.628,5.465,0,6
0,15,-1,212,106,106,11.532,11.251,0,5
0,16,-1,142,71,71,7.576,6.979,0,5
0,17,-1,166,83,83,8.324,8.319,2,5
0,18,1,141,71,70,7.373,7.098,4,3
0,19,-1,142,71,71,7.264,7.254,0,7
0,20,-1,126,63,63,6.53,6.72,0,5
